,data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,totale_casi,ingressi_terapia_intensiva
167,2020-03-02T18:00:00,Veneto,53,14,67,271,10,10,2,273,
168,2020-03-03T18:00:00,Abruzzo,5,0,5,6,1,1,0,6,
169,2020-03-03T18:00:00,Basilicata,0,0,0,1,1,1,0,1,
170,2020-03-03T18:00:00,Calabria,0,0,0,1,0,0,0,1,
171,2020-03-03T18:00:00,Campania,11,0,11,30,13,13,0,30,
172,2020-03-03T18:00:00,Emilia-Romagna,187,24,211,398,74,85,18,420,
173,2020-03-03T18:00:00,Friuli Venezia Giulia,1,0,1,13,4,4,0,13,
174,2020-03-03T18:00:00,Lazio,10,0,10,11,7,7,0,14,
175,2020-03-03T18:00:00,Liguria,12,2,14,19,1,2,1,24,
176,2020-03-03T18:00:00,Lombardia,698,167,865,1326,249,266,55,1520,
177,2020-03-03T18:00:00,Marche,27,13,40,59,25,26,2,61,
178,2020-03-03T18:00:00,Molise,3,0,3,3,3,3,0,3,
179,2020-03-03T18:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
180,2020-03-03T18:00:00,P.A. Trento,1,0,1,4,4,4,0,4,
181,2020-03-03T18:00:00,Piemonte,13,3,16,56,5,5,0,56,
182,2020-03-03T18:00:00,Puglia,2,0,2,6,2,2,0,6,
183,2020-03-03T18:00:00,Sardegna,1,0,1,1,1,1,0,1,
184,2020-03-03T18:00:00,Sicilia,2,0,2,5,0,0,0,7,
185,2020-03-03T18:00:00,Toscana,10,0,10,18,6,6,0,19,
186,2020-03-03T18:00:00,Umbria,1,1,2,8,6,6,0,8,
187,2020-03-03T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
188,2020-03-03T18:00:00,Veneto,49,19,68,297,26,34,3,307,
189,2020-03-04T17:00:00,Abruzzo,7,0,7,7,1,1,0,7,
190,2020-03-04T17:00:00,Basilicata,0,0,0,1,0,0,0,1,
191,2020-03-04T17:00:00,Calabria,0,0,0,1,0,0,0,1,
192,2020-03-04T17:00:00,Campania,11,0,11,31,1,1,0,31,
193,2020-03-04T17:00:00,Emilia-Romagna,256,26,282,516,118,124,22,544,
194,2020-03-04T17:00:00,Friuli Venezia Giulia,3,0,3,18,5,5,0,18,
195,2020-03-04T17:00:00,Lazio,15,3,18,27,16,16,0,30,
196,2020-03-04T17:00:00,Liguria,10,3,13,21,2,2,1,26,
197,2020-03-04T17:00:00,Lombardia,877,209,1086,1497,171,300,73,1820,
198,2020-03-04T17:00:00,Marche,34,15,49,80,21,23,4,84,
199,2020-03-04T17:00:00,Molise,3,0,3,3,0,0,0,3,
200,2020-03-04T17:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
201,2020-03-04T17:00:00,P.A. Trento,1,0,1,5,1,1,0,5,
202,2020-03-04T17:00:00,Piemonte,26,13,39,82,26,26,0,82,
203,2020-03-04T17:00:00,Puglia,4,0,4,7,1,3,1,9,
204,2020-03-04T17:00:00,Sardegna,1,0,1,2,1,1,0,2,
205,2020-03-04T17:00:00,Sicilia,5,0,5,16,11,11,0,18,
206,2020-03-04T17:00:00,Toscana,15,2,17,37,19,19,0,38,
207,2020-03-04T17:00:00,Umbria,1,1,2,9,1,1,0,9,
208,2020-03-04T17:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
209,2020-03-04T17:00:00,Veneto,76,23,99,345,48,53,6,360,
210,2020-03-05T17:00:00,Abruzzo,8,0,8,8,1,1,0,8,
211,2020-03-05T17:00:00,Basilicata,0,0,0,1,0,0,0,1,
212,2020-03-05T17:00:00,Calabria,1,0,1,2,1,1,0,2,
213,2020-03-05T17:00:00,Campania,12,0,12,45,14,14,0,45,
